"n°UAI de l'établissement";"Libellé de l'établissement";"Région";"Dont apprentis en EPLE";;"Taux";"Taux attendu";"Valeur ajoutée";
"0131402D";"LYCEE DES METIERS PRIVE CHARLES PEGUY";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";35;34;40;-6;40
"0131403E";"Lycée technologique privé Saint-Vincent-de-Paul";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";45;41;44;-3;54
"0131424C";"Lycée professionnel privé ORT Léon Bramson";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";73;;;;
"0131432L";"LYCEE DES METIERS PRIVE SAINT ANDRE - Lycée des métiers du transport, de la logistique et de la maintenance des véhicules industriels";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";39;37;38;-1;47
"0131433M";"LYCEE DES METIERS PRIVE SAINT HENRI - Lycée des métiers du bâtiment connecté et des énergies renouvelables";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";58;35;34;0;40
"0131434N";"LYCEE DES METIERS PRIVE ECOLE LIBRE DES METIERS - Lycée des métiers du génie életrique et thermique";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";63;23;31;-8;27
"0131436R";"Lycée technologique privé Modèle Electronique";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;43;43;0;64
"0131437S";"Lycée professionnel privé Phocéa René Attoyan Coiffure";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";79;;;;
"0131441W";"Lycée professionnel privé Saint Michel";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";43;12;24;-12;25
"0131445A";"LYCEE DES METIERS PRIVE CHARLOTTE GRAWITZ -Lycée des métiers des services aux entreprises et à la personne";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";41;29;29;0;32
"0131456M";"Lycée technologique privé Pastre - Grande Bastide";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";44;40;38;2;50
"0131463V";"Lycée professionnel privé La Cabucelle";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";40;16;28;-12;14
"0131484T";"LYCEE DES METIERS PRIVE BRISE LAMES";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";45;51;39;12;57
"0131485U";"LYCEE DES METIERS PRIVE LE ROCHER - Lycée des métiers des soins et services à la personne";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";44;41;37;4;48
"0131549N";"Lycée général et technologique Frédéric Joliot-Curie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";28;52;58;-6;59
"0131549N";"Lycée général et technologique Frédéric Joliot-Curie";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";32;52;55;-2;55
"0131549N";"Lycée général et technologique Frédéric Joliot-Curie";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";18;52;64;-12;70
"0131606A";"Lycée professionnel La Calade - lycée des métiers de la mode et du tertiaire";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";64;26;25;1;27
"0131675A";"Lycée professionnel privé Sainte Elisabeth";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";54;42;35;6;56
"0131681G";"Lycée technologique privé Chimie et Biologie La Forbine";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";32;62;53;8;59
"0131684K";"L.T.P. JEANNE PERRIMOND";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";41;58;52;6;62
"0131709M";"Section d'enseignement professionnel du Lycée polyvalent Adam de Craponne";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;33;38;-5;33
"0131747D";"Lycée polyvalent Auguste et Louis Lumière";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";47;31;28;3;41
"0131862D";"Lycée général et technologique privé le Sacré-Coeur";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;;;;
"0132193N";"lycée des métiers privé Edmond Rostand";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";35;35;27;9;46
"0132210G";"LYCÉE POLYVALENT JEAN LURÇAT";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";23;59;61;-2;78
"0132211H";"Section d'Enseignement Professionnel  Jean Lurçat";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";49;25;37;-12;35
"0132211H";"Section d'Enseignement Professionnel  Jean Lurçat";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";51;23;35;-12;35
"0132211H";"Section d'Enseignement Professionnel  Jean Lurçat";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;
"0132276D";"Lycée professionnel lycée des métiers Latécoere";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";43;44;40;4;52
"0132276D";"Lycée professionnel lycée des métiers Latécoere";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";47;36;30;5;47
"0132276D";"Lycée professionnel lycée des métiers Latécoere";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";21;71;69;2;66
"0132280H";"Lycée POlyvalent privé Henri Leroy";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";61;34;35;-1;43
"0132319A";"S.E.P. MAURICE GENEVOIX";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";45;27;32;-4;36
"0132343B";"Etablissement régional d'enseignement adapté Louis Aragon";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";31;21;17;4;21
"0132410Z";"LYCÉE POLYVALENT MAURICE GENEVOIX";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";22;57;54;3;67
"0132495S";"Lycée général et technologique Arthur Rimbaud";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;52;53;-1;59
"0132569X";"Section d'enseignement professionnel du Lycée polyvalent Emile Zola";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";55;59;47;12;46
"0132733A";"Lycée polyvalent Antonin Artaud";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";42;38;45;-7;53
"0132790M";"Lycée professionnel privé Jacques Raynaud";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";48;29;26;2;35
"0132828D";"Lycée Polyvalent Privé la Cadenelle";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";34;51;52;0;57
"0132922F";"Lycée technologique privé Saint Jean";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";40;52;55;-3;59
"0132974M";"Lycée polyvalent Hôtelier Régional Lycée des Métiers de l'hôtellerie du tourisme et de l'alimentation";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";37;47;45;2;61
"0132974M";"Lycée polyvalent Hôtelier Régional Lycée des Métiers de l'hôtellerie du tourisme et de l'alimentation";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";42;40;44;-4;58
"0132974M";"Lycée polyvalent Hôtelier Régional Lycée des Métiers de l'hôtellerie du tourisme et de l'alimentation";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";31;56;47;9;65
"0133015G";"Lycée polyvalent Pierre Mendès France - lycée des métiers de l'aeronautique";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";46;46;42;4;57
"0133244F";"Lycée polyvalent Marie-Madeleine Fourcade";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";44;52;41;11;63
"0133244F";"Lycée polyvalent Marie-Madeleine Fourcade";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";46;48;36;12;59
"0133244F";"Lycée polyvalent Marie-Madeleine Fourcade";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";29;76;71;5;84
"0133274N";"Lycée professionnel privé Jeanne d'Arc";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";44;31;41;-10;53
"0133288D";"Lycée polyvalent Jean Monnet";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";33;47;41;6;49
"0133305X";"Lycée professionnel privé Clovis Hugues";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";30;51;48;3;59
"0133314G";"Lycée général et technologique privé Saint Louis - Sainte Marie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";;;;;
"0133334D";"Lycée général et technologique privé ORT Léon Bramson";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";31;58;57;1;74
"0133395V";"Lycée technologique privé Sainte Marie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";40;46;38;8;57
"0133396W";"LYCEE DES METIERS PRIVE DON BOSCO";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";57;32;33;-1;35
"0133406G";"Lycée polyvalent de la Méditerranée";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";56;40;33;6;49
"0133424B";"LYCEE DES METIERS PRIVE CAUCADIS";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";38;32;32;-1;43
"0133425C";"LYCEE DES METIERS PRIVE CELONY";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;33;34;-1;44
"0133474F";"Lycée technologique privé Marie Gasquet";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";42;38;30;8;43
"0133525L";"Lycée général et technologique Georges Duby";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";53;67;60;7;67
"0133525L";"Lycée général et technologique Georges Duby";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";54;68;57;11;68
"0133525L";"Lycée général et technologique Georges Duby";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;
"0134003F";"Lycée régional Nelson MANDELA";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";46;56;44;12;56
"0134101M";"Lycée Technologique Privé Saint Louis";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";45;21;27;-6;24
"0134155W";"Lycée Polyvalent régional Simone Veil";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";;;;;
"0140014P";"Lycée général et technologique Augustin Fresnel";"NORMANDIE";"ensemble";61;;;;
"0140017T";"Lycée général et technologique Jean Rostand";"NORMANDIE";"ensemble";41;55;51;4;60
"0140018U";"Lycée professionnel Victor Lepine - Lycée des métiers d'arts appliqués à la création et au bien être";"NORMANDIE";"ensemble";57;33;34;-1;44
"0140018U";"Lycée professionnel Victor Lepine - Lycée des métiers d'arts appliqués à la création et au bien être";"NORMANDIE";"dont élèves en voie pro sco";59;30;31;-1;41
"0140018U";"Lycée professionnel Victor Lepine - Lycée des métiers d'arts appliqués à la création et au bien être";"NORMANDIE";"dont apprentis";19;;;;
"0140019V";"Lycée professionnel Camille Claudel - Lycée des métiers des services";"NORMANDIE";"ensemble";42;38;32;6;42
"0140043W";"Lycée général André Maurois";"NORMANDIE";"ensemble";36;38;50;-12;56
"0140052F";"Lycée polyvalent Guillaume le Conquérant - Lycée des métiers de la gestion";"NORMANDIE";"ensemble";40;25;33;-8;41
"0140056K";"Lycée polyvalent Albert Sorel";"NORMANDIE";"ensemble";41;42;43;-1;63
"0141175B";"Lycée général et technologique privé Institut Lemonnier";"NORMANDIE";"ensemble";35;52;50;2;62
"0141178E";"Lycée technologique privé Sainte Ursule";"NORMANDIE";"ensemble";44;59;56;3;69
"0141186N";"Lycée professionnel privé L'Oasis - Lycée des métiers de service à la personne et à la collectivité";"NORMANDIE";"ensemble";62;33;31;2;46
"0141191U";"Lycée professionnel privé Notre Dame de Fidelite - Lycée des métiers du secteur de la santé et du social";"NORMANDIE";"ensemble";37;35;33;2;45
"0141192V";"Lycée professionnel privé Saint Joseph";"NORMANDIE";"ensemble";32;17;29;-12;42
"0141193W";"Lycée professionnel privé Notre Dame de Nazareth";"NORMANDIE";"ensemble";41;43;37;6;51
"0141197A";"Lycée professionnel privé Orphelins Apprentis d'Auteuil";"NORMANDIE";"ensemble";36;24;29;-5;21
"0141274J";"Lycée polyvalent Arcisse de Caumont - Lycée des métiers du transport et de la logistique";"NORMANDIE";"ensemble";42;46;45;1;62
"0141274J";"Lycée polyvalent Arcisse de Caumont - Lycée des métiers du transport et de la logistique";"NORMANDIE";"dont élèves en voie pro sco";41;44;44;0;61
"0141274J";"Lycée polyvalent Arcisse de Caumont - Lycée des métiers du transport et de la logistique";"NORMANDIE";"dont apprentis";;;;;
"0141275K";"Lycée polyvalent Paul Cornu - Lycée des métiers des industries graphiques";"NORMANDIE";"ensemble";45;31;36;-5;50
"0141275K";"Lycée polyvalent Paul Cornu - Lycée des métiers des industries graphiques";"NORMANDIE";"dont élèves en voie pro sco";45;31;36;-5;50
"0141275K";"Lycée polyvalent Paul Cornu - Lycée des métiers des industries graphiques";"NORMANDIE";"dont apprentis";;;;;
"0141418R";"Lycée technologique privé Les Rosiers";"NORMANDIE";"ensemble";32;;;;
"0141420T";"Etablissement régional d'enseignement adapté Yvonne Guégan";"NORMANDIE";"ensemble";36;24;22;2;28
"0141555P";"Lycée général et technologique Marie Curie";"NORMANDIE";"ensemble";65;65;57;8;68
"0141599M";"Lycée professionnel Jean Jooris";"NORMANDIE";"ensemble";46;38;36;2;47
"0141599M";"Lycée professionnel Jean Jooris";"NORMANDIE";"dont élèves en voie pro sco";48;39;35;4;47
"0141599M";"Lycée professionnel Jean Jooris";"NORMANDIE";"dont apprentis";;;;;
"0141687H";"Lycée polyvalent Jules Verne - Lycée des métiers de l'automobile, des ingénieries électriques et industrielles";"NORMANDIE";"ensemble";43;51;52;-1;59
"0141687H";"Lycée polyvalent Jules Verne - Lycée des métiers de l'automobile, des ingénieries électriques et industrielles";"NORMANDIE";"dont élèves en voie pro sco";47;46;47;-1;53
"0141687H";"Lycée polyvalent Jules Verne - Lycée des métiers de l'automobile, des ingénieries électriques et industrielles";"NORMANDIE";"dont apprentis";17;79;79;0;86
"0141796B";"Lycée général et technologique Salvador Allende";"NORMANDIE";"ensemble";36;56;59;-3;62
"0141866C";"Lycée professionnel privé Institut Lemonnier - Lycée des métiers des systèmes numériques et de l'énergie";"NORMANDIE";"ensemble";62;43;37;6;57
"0141867D";"Lycée professionnel privé Sainte Ursule - Lycée des métiers du tertiaire";"NORMANDIE";"ensemble";58;34;39;-5;48
"0141868E";"Lycée professionnel privé Les Rosiers";"NORMANDIE";"ensemble";43;39;36;3;63
"0142084P";"Lycée technologique privé Notre Dame de Fidelité";"NORMANDIE";"ensemble";43;29;41;-12;49
"0142108R";"Lycée technologique privé Notre Dame de Nazareth";"NORMANDIE";"ensemble";24;69;57;12;83
"0142120D";"Lycée polyvalent Charles Tellier - Lycée des métiers du génie électrique";"NORMANDIE";"ensemble";64;39;37;2;48
"0142120D";"Lycée polyvalent Charles Tellier - Lycée des métiers du génie électrique";"NORMANDIE";"dont élèves en voie pro sco";64;39;36;4;47
"0142120D";"Lycée polyvalent Charles Tellier - Lycée des métiers du génie électrique";"NORMANDIE";"dont apprentis";;;;;
"0142131R";"Lycée polyvalent Jules Dumont d'Urville";"NORMANDIE";"ensemble";57;53;49;4;51
"0142132S";"Lycée polyvalent François Rabelais - Lycée des métiers de l'hôtellerie et de la restauration";"NORMANDIE";"ensemble";49;58;46;12;71
"0142132S";"Lycée polyvalent François Rabelais - Lycée des métiers de l'hôtellerie et de la restauration";"NORMANDIE";"dont élèves en voie pro sco";49;58;46;12;71
"0142132S";"Lycée polyvalent François Rabelais - Lycée des métiers de l'hôtellerie et de la restauration";"NORMANDIE";"dont apprentis";;;;;
"0142133T";"Lycée polyvalent Pierre Simon de Laplace -Lycée des métiers de l'habitat et des travaux publics";"NORMANDIE";"ensemble";47;58;51;7;67
"0142133T";"Lycée polyvalent Pierre Simon de Laplace -Lycée des métiers de l'habitat et des travaux publics";"NORMANDIE";"dont élèves en voie pro sco";48;55;50;6;64
"0142133T";"Lycée polyvalent Pierre Simon de Laplace -Lycée des métiers de l'habitat et des travaux publics";"NORMANDIE";"dont apprentis";;;;;
"0142178S";"Lycée professionnel Jean Mermoz";"NORMANDIE";"ensemble";52;41;42;-1;49
"0142178S";"Lycée professionnel Jean Mermoz";"NORMANDIE";"dont élèves en voie pro sco";52;40;40;0;48
"0142178S";"Lycée professionnel Jean Mermoz";"NORMANDIE";"dont apprentis";;;;;
"0150006A";"Lycée polyvalent Monnet-Mermoz - Lycée des métiers des sciences et techniques appliquées à l'industrie et aux services";"AUVERGNE-RHONE-ALPES";"ensemble";52;59;53;6;65
"0150006A";"Lycée polyvalent Monnet-Mermoz - Lycée des métiers des sciences et techniques appliquées à l'industrie et aux services";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";52;58;53;5;63
"0150006A";"Lycée polyvalent Monnet-Mermoz - Lycée des métiers des sciences et techniques appliquées à l'industrie et aux services";"AUVERGNE-RHONE-ALPES";"dont apprentis";55;;;;
"0150008C";"Lycée professionnel Raymond Cortat - Lycée des métiers de la restauration et du service aux personnes et aux entreprises";"AUVERGNE-RHONE-ALPES";"ensemble";45;36;42;-6;54
"0150008C";"Lycée professionnel Raymond Cortat - Lycée des métiers de la restauration et du service aux personnes et aux entreprises";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";47;35;41;-6;53
"0150008C";"Lycée professionnel Raymond Cortat - Lycée des métiers de la restauration et du service aux personnes et aux entreprises";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;
"0150022T";"Lycée professionnel Joseph Constant";"AUVERGNE-RHONE-ALPES";"ensemble";57;50;50;0;47
"0150022T";"Lycée professionnel Joseph Constant";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";62;41;45;-4;41
"0150022T";"Lycée professionnel Joseph Constant";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;
"0150030B";"Lycée polyvalent de Haute Auvergne";"AUVERGNE-RHONE-ALPES";"ensemble";49;60;50;9;62
"0150047V";"Lycée polyvalent privé de la Communication Saint Géraud";"AUVERGNE-RHONE-ALPES";"ensemble";49;35;42;-7;43
"0150613K";"Etablissement régional d'enseignement adapté Albert Monier";"AUVERGNE-RHONE-ALPES";"ensemble";52;17;26;-9;30
"0150613K";"Etablissement régional d'enseignement adapté Albert Monier";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";52;14;24;-11;27
"0150613K";"Etablissement régional d'enseignement adapté Albert Monier";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;
"0150747F";"Lycée polyvalent - Lycée des métiers de l'eau et de la gestion comptable";"AUVERGNE-RHONE-ALPES";"ensemble";32;;;;
"0150760V";"Lycée Polyvalent privé Gerbert";"AUVERGNE-RHONE-ALPES";"ensemble";54;30;38;-8;40
"0160003S";"Lycée général et technologique Marguerite de Valois";"NOUVELLE-AQUITAINE";"ensemble";35;45;52;-7;59
"0160004T";"Lycée technologique Charles Augustin Coulomb";"NOUVELLE-AQUITAINE";"ensemble";31;55;61;-6;64
"0160004T";"Lycée technologique Charles Augustin Coulomb";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";35;43;54;-11;48
"0160004T";"Lycée technologique Charles Augustin Coulomb";"NOUVELLE-AQUITAINE";"dont apprentis";26;70;70;0;85
"0160010Z";"Lycée général et technologique Elie Vinet";"NOUVELLE-AQUITAINE";"ensemble";27;46;49;-3;49
"0160010Z";"Lycée général et technologique Elie Vinet";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";26;35;47;-12;43
"0160010Z";"Lycée général et technologique Elie Vinet";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0160020K";"Lycée polyvalent Jean Monnet";"NOUVELLE-AQUITAINE";"ensemble";52;44;43;2;64
"0160022M";"Lycée polyvalent Emile Roux";"NOUVELLE-AQUITAINE";"ensemble";28;36;45;-9;47
"0160022M";"Lycée polyvalent Emile Roux";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";33;39;42;-3;50
"0160022M";"Lycée polyvalent Emile Roux";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0160036C";"Lycée professionnel Jean Caillaud - Lycée des métiers de l'énergie de la métallurgie et de la vente";"NOUVELLE-AQUITAINE";"ensemble";44;26;34;-7;40
"0160047P";"Lycée professionnel Charles Augustin Coulomb";"NOUVELLE-AQUITAINE";"ensemble";75;48;36;12;55
"0160048R";"Lycée professionnel Pierre-André Chabanne -  Lycée des métiers des services à la personne et aux entreprises";"NOUVELLE-AQUITAINE";"ensemble";56;41;32;9;42
"0160048R";"Lycée professionnel Pierre-André Chabanne -  Lycée des métiers des services à la personne et aux entreprises";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";55;40;31;9;40
"0160048R";"Lycée professionnel Pierre-André Chabanne -  Lycée des métiers des services à la personne et aux entreprises";"NOUVELLE-AQUITAINE";"dont apprentis";71;;;;
"0160049S";"Lycée professionnel Jean Rostand - Lycée des métiers de la mode et des services";"NOUVELLE-AQUITAINE";"ensemble";46;32;32;0;39
"0160049S";"Lycée professionnel Jean Rostand - Lycée des métiers de la mode et des services";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";48;29;28;1;37
"0160049S";"Lycée professionnel Jean Rostand - Lycée des métiers de la mode et des services";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0160079Z";"Lycée général et technologique privé Sainte Marthe Chavagnes";"NOUVELLE-AQUITAINE";"ensemble";33;56;52;4;65
"0160083D";"Lycée polyvalent privé Saint Joseph L'Amandier";"NOUVELLE-AQUITAINE";"ensemble";61;64;52;12;77
"0160119T";"Lycée professionnel Louis Delage";"NOUVELLE-AQUITAINE";"ensemble";40;39;36;2;47
"0160119T";"Lycée professionnel Louis Delage";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";41;37;34;3;41
"0160119T";"Lycée professionnel Louis Delage";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0160792Z";"Lycée professionnel Sillac - Lycée des métiers de l'habitat, du bâtiment et de la topographie";"NOUVELLE-AQUITAINE";"ensemble";49;56;59;-3;64
"0160792Z";"Lycée professionnel Sillac - Lycée des métiers de l'habitat, du bâtiment et de la topographie";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";64;33;39;-6;40
"0160792Z";"Lycée professionnel Sillac - Lycée des métiers de l'habitat, du bâtiment et de la topographie";"NOUVELLE-AQUITAINE";"dont apprentis";26;73;74;-1;81
"0160862A";"Lycée professionnel Jean Albert Grégoire - Lycée des métiers du transport, de la logistique et de la maintenance automobile";"NOUVELLE-AQUITAINE";"ensemble";31;50;52;-2;60
"0160862A";"Lycée professionnel Jean Albert Grégoire - Lycée des métiers du transport, de la logistique et de la maintenance automobile";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";35;44;47;-4;54
"0160862A";"Lycée professionnel Jean Albert Grégoire - Lycée des métiers du transport, de la logistique et de la maintenance automobile";"NOUVELLE-AQUITAINE";"dont apprentis";16;74;70;4;81
"0160968R";"Etablissement régional d'enseignement adapté";"NOUVELLE-AQUITAINE";"ensemble";22;14;22;-8;25
"0161003D";"Lycée professionnel Louise Michel";"NOUVELLE-AQUITAINE";"ensemble";34;30;40;-11;42
"0161003D";"Lycée professionnel Louise Michel";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";37;23;35;-12;34
"0161003D";"Lycée professionnel Louise Michel";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0161095D";"Lycée d'enseignement général et technologique Image et son - Lycée des métiers de l'image, du son et de la communication";"NOUVELLE-AQUITAINE";"ensemble";39;31;41;-10;42
"0161133V";"Lycée professionnel  privé Sainte Marthe Chavagnes";"NOUVELLE-AQUITAINE";"ensemble";73;26;33;-7;38
"0170020E";"Lycée polyvalent Emile Combes - Lycée des métiers de l'éco-construction et de la déconstruction";"NOUVELLE-AQUITAINE";"ensemble";42;57;52;6;67
"0170020E";"Lycée polyvalent Emile Combes - Lycée des métiers de l'éco-construction et de la déconstruction";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";42;47;45;3;58
"0170020E";"Lycée polyvalent Emile Combes - Lycée des métiers de l'éco-construction et de la déconstruction";"NOUVELLE-AQUITAINE";"dont apprentis";42;92;80;12;100
"0170022G";"Lycée général et technologique Maurice Merleau-Ponty";"NOUVELLE-AQUITAINE";"ensemble";46;40;45;-5;54
"0170025K";"Lycée professionnel Gilles Jamain";"NOUVELLE-AQUITAINE";"ensemble";43;28;26;2;44
"0170027M";"Lycée général et technologique René Josué Valin";"NOUVELLE-AQUITAINE";"ensemble";70;;;;
"0170028N";"Lycée général et technologique Jean Dautet";"NOUVELLE-AQUITAINE";"ensemble";30;;;;
"0170029P";"Lycée général et technologique Léonce Vieljeux";"NOUVELLE-AQUITAINE";"ensemble";39;57;53;4;69
"0170030R";"Lycée professionnel Léonce Vieljeux";"NOUVELLE-AQUITAINE";"ensemble";51;36;42;-6;51
"0170031S";"Lycée professionnel Pierre Doriole - Lycée des métiers des services à la personne et aux entreprises";"NOUVELLE-AQUITAINE";"ensemble";38;29;29;0;40
"0170031S";"Lycée professionnel Pierre Doriole - Lycée des métiers des services à la personne et aux entreprises";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";38;27;28;-1;40
"0170031S";"Lycée professionnel Pierre Doriole - Lycée des métiers des services à la personne et aux entreprises";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0170042D";"Lycée d'enseignement général et technologique Cordouan - Lycée des métiers du tourisme";"NOUVELLE-AQUITAINE";"ensemble";37;41;53;-12;70
"0170042D";"Lycée d'enseignement général et technologique Cordouan - Lycée des métiers du tourisme";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";38;31;43;-12;66
"0170042D";"Lycée d'enseignement général et technologique Cordouan - Lycée des métiers du tourisme";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0170051N";"Lycée polyvalent Louis Audouin Dubreuil";"NOUVELLE-AQUITAINE";"ensemble";42;33;40;-7;53
"0170051N";"Lycée polyvalent Louis Audouin Dubreuil";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";41;30;39;-9;51
"0170051N";"Lycée polyvalent Louis Audouin Dubreuil";"NOUVELLE-AQUITAINE";"dont apprentis";45;;;;
"0170052P";"Lycée professionnel Blaise Pascal - Lycée des métiers de la maintenance, de la sécurité et des travaux publics";"NOUVELLE-AQUITAINE";"ensemble";39;53;49;4;61
"0170052P";"Lycée professionnel Blaise Pascal - Lycée des métiers de la maintenance, de la sécurité et des travaux publics";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";46;40;38;2;50
"0170052P";"Lycée professionnel Blaise Pascal - Lycée des métiers de la maintenance, de la sécurité et des travaux publics";"NOUVELLE-AQUITAINE";"dont apprentis";13;83;75;8;86
"0170058W";"Lycée général et technologique Bellevue";"NOUVELLE-AQUITAINE";"ensemble";32;44;50;-5;65
"0170060Y";"Lycée général et technologique Bernard Palissy";"NOUVELLE-AQUITAINE";"ensemble";25;56;55;1;74
"0170060Y";"Lycée général et technologique Bernard Palissy";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";26;51;52;-1;72
"0170060Y";"Lycée général et technologique Bernard Palissy";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0170070J";"Lycée Polyvalent du Pays d'Aunis - Lycée des métiers du bois";"NOUVELLE-AQUITAINE";"ensemble";47;29;28;1;45
"0170070J";"Lycée Polyvalent du Pays d'Aunis - Lycée des métiers du bois";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";49;26;24;2;40
"0170070J";"Lycée Polyvalent du Pays d'Aunis - Lycée des métiers du bois";"NOUVELLE-AQUITAINE";"dont apprentis";;;;;
"0170078T";"Lycée professionnel Bernard Palissy";"NOUVELLE-AQUITAINE";"ensemble";59;24;32;-8;42
"0170100S";"Lycée polyvalent privé Fénelon Notre-Dame";"NOUVELLE-AQUITAINE";"ensemble";39;37;37;0;50
"0170135E";"Lycée polyvalent Jean Hyppolite - Lycée des métiers de la santé et du social";"NOUVELLE-AQUITAINE";"ensemble";35;32;35;-2;36
"0170135E";"Lycée polyvalent Jean Hyppolite - Lycée des métiers de la santé et du social";"NOUVELLE-AQUITAINE";"dont élèves en voie pro sco";36;32;34;-3;35
