"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0333000G";"Centre de formation d'apprentis Propreté-Hygiène-Environnement (INHNI)";"NOUVELLE-AQUITAINE";42;24;52;56;-5;53;52;56
"0333034U";"Site de formation d'apprentis École supérieure de la banque - Bordeaux";"NOUVELLE-AQUITAINE";10;39;;;;;;
"0333114F";"Centre de formation d'apprentis Formaposte Midi Atlantique";"NOUVELLE-AQUITAINE";16;8;65;66;-1;61;73;74
"0333123R";"Centre de formation d'apprentis IFRIA Nouvelle Aquitaine";"NOUVELLE-AQUITAINE";32;32;62;71;-9;75;75;72
"0333130Y";"Centre de formations d'apprentis maison de la promotion sociale - Métiers de l'environnement";"NOUVELLE-AQUITAINE";37;;;;;;;
"0333131Z";"Centre de formation d'apprentis Multimétiers de la Haute Gironde";"NOUVELLE-AQUITAINE";35;26;62;62;0;78;68;76
"0333135D";"Centre de formation d'apprentis sport, animation Nouvelle Aquitaine";"NOUVELLE-AQUITAINE";11;47;49;53;-5;58;47;60
"0333199Y";"Centre de formation d'apprentis ASPECT Aquitaine";"NOUVELLE-AQUITAINE";17;14;56;60;-3;59;60;61
"0333200Z";"Centre de formation d'apprentis de l'hospitalisation privée (GPFHP)";"NOUVELLE-AQUITAINE";8;3;72;60;12;81;75;78
"0333204D";"Centre de formation d'apprentis Leem Apprentissage Nouvelle-Aquitaine";"NOUVELLE-AQUITAINE";6;;;;;;;
"0333235M";"Centre de formation d'apprentis des métiers de la mer";"NOUVELLE-AQUITAINE";17;;;;;;;
"0333288V";"Centre de formation d'apprentis A.F.P.A Aquitaine";"NOUVELLE-AQUITAINE";29;22;51;47;4;56;51;49
"0333335W";"Centre de formation d'apprentis Ducretet Aquitaine";"NOUVELLE-AQUITAINE";23;10;78;66;12;80;70;82
"0333400S";"centre de formation d'apprentis - université de bordeaux";"NOUVELLE-AQUITAINE";;66;58;61;-2;60;58;72
"0341024D";"Centre de formation d'apprentis Nicolas Albano";"OCCITANIE";46;33;55;52;2;67;57;65
"0341493N";"Centre de formation d'apprentise BTP de l'Hérault";"OCCITANIE";36;35;51;57;-6;56;60;62
"0341495R";"Centre de formation d'apprentis de l'Education nationale de l'Hérault";"OCCITANIE";31;22;55;62;-7;61;66;68
"0341621C";"centre formation apprentis agricole de l'herault";"OCCITANIE";40;26;47;51;-4;57;49;55
"0341919B";"Pôle Formation UIMM LR";"OCCITANIE";25;30;66;67;-2;70;72;74
"0341979S";"Centre de formation d'apprentis de l'hospitalisation privée";"OCCITANIE";12;0;55;44;11;60;60;65
"0341983W";"Centre de formation d'apprentis FORMAPOSTE Méditerranée";"OCCITANIE";18;18;46;49;-3;50;64;63
"0341985Y";"Centre de formation d'apprentis Transport et Logistique, AFTRAL";"OCCITANIE";29;14;67;61;6;73;68;72
"0342009Z";"Centre de formation d'apprentis Institut Formation Régional Industries Alimentaires  Languedoc-Roussillon";"OCCITANIE";22;13;67;68;-2;56;70;63
"0342135L";"Centre de formation d'apprentis ESMA Aviation Academy";"OCCITANIE";5;39;74;64;11;74;74;77
"0342180K";"Centre de formation d'apprentis des travaux publics en Languedoc-Roussillon";"OCCITANIE";17;36;74;67;8;77;80;84
"0342217A";"Centre de formation d'apprentis des Professions Sanitaires, Sociales et Médico-sociales";"OCCITANIE";16;5;48;46;3;59;64;64
"0342239Z";"Centre de formation d'apprentis Sport Méditerranée";"OCCITANIE";;20;;;;;;
"0342258V";"section d'apprentissage lpm paul bousquet";"OCCITANIE";17;;;;;;;
"0342283X";"Centre de formation des apprentis des Métiers Territoriaux du Languedoc-Roussillon";"OCCITANIE";17;22;20;23;-4;26;27;35
"0342306X";"Centre de formation d'apprentis Sud Tourisme";"OCCITANIE";40;26;46;56;-11;61;47;64
"0342307Y";"Centre de formation d'apprentis Polyvia Formation Montpellier Occitanie";"OCCITANIE";24;;;;;;;
"0342314F";"Centre de formation d'apprentis Groupe Sup de Co";"OCCITANIE";46;23;;;;;;
"0342318K";"Centre de formation d'apprentis Purple Campus Pérols";"OCCITANIE";45;29;53;55;-2;63;58;67
"0342338G";"Centre de formation d'apprentis de l'Enseignement Supérieur ASuR LR";"OCCITANIE";;55;;;;;;
"0342347S";"Centre de Formation d'Apprentis Institut Régional de Formation aux Métiers de l'Artisanat de l'Hérault";"OCCITANIE";38;31;66;60;6;67;61;68
"0350998V";"CFA CMA Bretagne - Faculté des Métiers Bruz";"BRETAGNE";31;42;70;68;2;75;74;76
"0351002Z";"CFA Bâtiment 35";"BRETAGNE";28;45;72;72;1;77;76;80
"0351884H";"CFA de la CCI d'Ille-et-Vilaine Faculté des métiers";"BRETAGNE";46;24;62;62;0;69;69;73
"0351980M";"CFA de l'Union nationale des industries de carrières et matériaux";"BRETAGNE";29;28;68;72;-4;74;74;68
"0352193U";"CFA DE ST AUBIN DU CORMIER";"BRETAGNE";31;28;59;59;1;65;71;76
"0352356W";"CFA des Compagnons du Devoir";"BRETAGNE";36;35;68;65;3;69;71;63
"0352449X";"CFA Propreté INHNI";"BRETAGNE";42;46;47;55;-8;57;60;64
"0352450Y";"CFA ES Banque - Site de Rennes";"BRETAGNE";9;56;;;;;;
"0352490S";"CFA ESCCOT";"BRETAGNE";16;6;73;71;2;72;72;75
"0352492U";"CFA agricole privé MFR Bretagne";"BRETAGNE";21;24;65;62;3;74;73;73
"0352579N";"CFA PROMOTRANS";"BRETAGNE";25;30;87;79;8;82;80;85
"0352690J";"CFA de l'Education nationale";"BRETAGNE";21;27;75;75;0;76;75;76
"0352715L";"Antenne de CFA AGAEAPB";"BRETAGNE";31;31;61;57;3;70;69;74
"0360548A";"CFA Chambre des métiers et de l'Artisanat du 36";"CENTRE-VAL DE LOIRE";45;43;66;59;7;66;67;69
"0360766M";"CFA Agricole Départemental de l'Indre";"CENTRE-VAL DE LOIRE";38;29;65;62;3;76;69;76
"0360777Z";"Centre de Formation Supérieur d'Apprentis Campus Centre";"CENTRE-VAL DE LOIRE";30;47;49;61;-12;57;61;65
"0370811F";"Campus des Métiers et de l'Artisanat";"CENTRE-VAL DE LOIRE";37;38;65;64;1;69;70;73
"0370825W";"Centre de Formation d'Apprentis, La cité des Formations";"CENTRE-VAL DE LOIRE";44;25;62;61;1;66;62;70
"0371436K";"Tours Fondettes Agrocampus";"CENTRE-VAL DE LOIRE";27;33;61;58;3;61;61;60
"0371437L";"Centre de Formation d'Apprentis des Compagnons du Devoir";"CENTRE-VAL DE LOIRE";38;38;75;63;12;69;73;72
"0371461M";"CA.R.T.I.F.";"CENTRE-VAL DE LOIRE";32;28;65;63;1;65;56;50
"0371514V";"Centre de Formation d'Apprentis des Métiers des Industries Pharmaceutiques et Cosmétologiques";"CENTRE-VAL DE LOIRE";28;26;53;65;-12;57;69;71
"0371515W";"CFA Propreté INHNI Centre";"CENTRE-VAL DE LOIRE";34;29;49;54;-4;47;53;53
"0381861S";"CFA Institut des Métiers et des Techniques";"AUVERGNE-RHONE-ALPES";35;29;67;66;1;68;71;71
"0382910G";"AFTRAL CFA Transport Logistique";"AUVERGNE-RHONE-ALPES";24;16;79;73;6;84;80;83
"0383091D";"CFA ADFI";"AUVERGNE-RHONE-ALPES";26;32;80;76;4;83;81;83
"0383139F";"CFA IFA des Alpes";"AUVERGNE-RHONE-ALPES";29;19;71;67;4;69;71;73
"0383169N";"CFA Formasup Isère Drôme Ardèche";"AUVERGNE-RHONE-ALPES";8;72;69;68;1;59;62;78
"0383173T";"CFA UNICEM";"AUVERGNE-RHONE-ALPES";18;48;80;75;5;84;79;87
"0383249A";"BTP CFA Isère";"AUVERGNE-RHONE-ALPES";32;36;66;66;0;71;68;67
"0383332R";"CFA FIPAG";"AUVERGNE-RHONE-ALPES";22;27;61;62;-1;68;67;73
"0383426T";"CFA SPORTS ET ANIMATIONS RHONE ALPES";"AUVERGNE-RHONE-ALPES";;14;;;;;;
"0390799G";"CFA du Jura";"BOURGOGNE-FRANCHE-COMTE";29;43;62;63;0;66;65;70
"0391038S";"centre formation apprentis agricole du jura";"BOURGOGNE-FRANCHE-COMTE";;26;;;;;;
"0391039T";"centre formation apprentis agroalimentaire enilbio";"BOURGOGNE-FRANCHE-COMTE";;40;;;;;;
"0400100S";"Centre de formation d'apprentis des métiers de l'artisanat des Landes";"NOUVELLE-AQUITAINE";42;33;61;61;-1;69;69;75
"0400751Z";"Centre de formation d'apprentis du bâtiment et des travaux publics des Landes";"NOUVELLE-AQUITAINE";31;38;62;63;-1;71;62;70
"0400780F";"Centre de formation d'apprentis des Industries du Bois";"NOUVELLE-AQUITAINE";31;;;;;;;
"0400781G";"Centre de formation d'apprentis des métiers de l'hôtellerie - Lycée de Borda";"NOUVELLE-AQUITAINE";60;23;55;59;-4;64;60;71
"0400898J";"centre formation apprentis agricole des landes";"NOUVELLE-AQUITAINE";25;32;54;58;-4;64;57;68
"0400918F";"centre formation apprentis agricole cfa forestier";"NOUVELLE-AQUITAINE";;31;;;;;;
"0401042R";"Centre de formation d'apprentis du bois et de l'habitat - Lycée Haroun Tazieff";"NOUVELLE-AQUITAINE";25;21;70;74;-4;76;73;74
"0410590U";"Centre de Formation d'Apprentis Interprofessionnel";"CENTRE-VAL DE LOIRE";44;37;60;59;1;64;66;70
"0410892X";"Campus des métiers PROMOTRANS Centre Val de Loire";"CENTRE-VAL DE LOIRE";30;32;70;70;-1;70;73;80
"0410955R";"centre formation apprentis agricole cfaad du loir et cher";"CENTRE-VAL DE LOIRE";35;31;63;61;2;66;64;66
"0421139K";"BTP CFA Loire";"AUVERGNE-RHONE-ALPES";30;37;71;68;3;78;73;74
"0421567A";"Organisme de formation-Centre de formation d'apprentis Institut des Métiers de Saint-Etienne";"AUVERGNE-RHONE-ALPES";38;33;61;61;0;63;69;70
"0421609W";"Centre de Formation d'Apprentiss du Roannais ARPA";"AUVERGNE-RHONE-ALPES";36;44;68;67;1;74;74;76
"0421975U";"ASSOCIATION DE FORMATION DES INDUSTRIES DE LA LOIRE (AFIL)";"AUVERGNE-RHONE-ALPES";22;28;86;77;9;88;84;86
"0430844J";"INSTITUT DE FORMATION PROFESSIONNELLE 43";"AUVERGNE-RHONE-ALPES";36;42;63;65;-2;70;67;73
"0430855W";"BTP CFA Haute-Loire";"AUVERGNE-RHONE-ALPES";20;50;79;71;7;83;84;81
"0430918P";"centre formation apprentis agricole";"AUVERGNE-RHONE-ALPES";;28;;;;;;
"0430931D";"Antenne de Vals Près Le Puy CFA CREAP";"AUVERGNE-RHONE-ALPES";;24;;;;;;
"0440096R";"Centre de Formation d'Apprentis Fab'Academy du Pôle formation - UIMM Centre de Nantes";"PAYS DE LA LOIRE";18;32;78;75;3;78;81;80
"0440333Y";"Centre de Formation d'Apprentissage Coiffure et de l'Esthétique";"PAYS DE LA LOIRE";38;38;75;70;6;77;75;82
"0440334Z";"Fédération des mécaniciens chauffeurs électriciens";"PAYS DE LA LOIRE";25;43;68;74;-6;77;74;74
"0440342H";"GRAFIPOLIS (AFIIG)";"PAYS DE LA LOIRE";22;32;51;59;-7;54;59;64
"0440344K";"URMA Loire-Atlantique";"PAYS DE LA LOIRE";36;34;69;66;3;74;73;76
"0440395R";"Centre de formation d'apprentis agricole de loire-atlantique";"PAYS DE LA LOIRE";26;33;64;57;7;68;68;70
"0441854B";"Centre de formation d'apprentis AFTRAL Sainte Luce sur Loire";"PAYS DE LA LOIRE";19;17;71;69;2;74;77;78
"0441969B";"Fédération départementale des Maison Familiale et Rurales (MFR)";"PAYS DE LA LOIRE";21;40;72;63;9;74;73;75
"0442096P";"Centre de Formation d'Apprentis Annexe du LPO la Joliverie";"PAYS DE LA LOIRE";11;12;84;82;2;84;89;90
"0442274H";"Site de formation d'apprentis de l'Ecole supérieure de la banque - Nantes";"PAYS DE LA LOIRE";22;57;;;;;;
"0442275J";"Centre de formation d'apprentis IA";"PAYS DE LA LOIRE";43;28;68;65;2;71;71;71
"0442332W";"cfa groupement interconsulaire de loire-atlantique, CCI nantes-st nazaire.";"PAYS DE LA LOIRE";31;14;70;71;-1;76;73;74
"0442349P";"Centre de Formation d'Apprentis St Félix la Salle - OGEC Nantes Erdre";"PAYS DE LA LOIRE";18;34;76;68;8;82;77;78
"0442415L";"Centre de Formation d'Apprentis FormaSup des Pays de la Loire";"PAYS DE LA LOIRE";14;71;60;70;-11;68;64;77
"0442416M";"Centre de Formation d'Apprentis Bâtiment et TP de Loire-Atlantique";"PAYS DE LA LOIRE";26;43;75;71;3;77;75;78
"0442574J";"Centre de formation d'apprentis éducation nationale 44";"PAYS DE LA LOIRE";16;32;71;70;1;74;76;76
"0442590B";"Centre de formation d'apprentis Design et innovation";"PAYS DE LA LOIRE";;38;;;;;;
"0442621K";"Centre étude formation industrielle";"PAYS DE LA LOIRE";16;28;77;76;0;80;78;77
"0442792W";"Centre de formation d'apprentis Sports Animation Pays de la Loire";"PAYS DE LA LOIRE";;13;;;;;;
"0442846E";"CFA IFRIA Nantes";"PAYS DE LA LOIRE";20;;;;;;;
"0450805F";"Centre de Formation d'Apprentis Pharmacie";"CENTRE-VAL DE LOIRE";19;17;68;78;-10;73;74;76
"0450807H";"CFA Orléans Métropole";"CENTRE-VAL DE LOIRE";45;22;58;58;0;60;62;65
"0450808J";"Syndicat mixte pour le CFA Est-Loiret";"CENTRE-VAL DE LOIRE";45;30;60;58;1;62;64;69
"0450809K";"CFA de la Chambre des métiers et de l'Artisanat du Loiret";"CENTRE-VAL DE LOIRE";41;37;59;59;0;62;64;69
"0451418X";"Centre de Formation d'Apprentis Spécialisé Centre";"CENTRE-VAL DE LOIRE";32;23;36;41;-6;46;48;54
"0451463W";"centre formation apprentis agricole cfaad du loiret";"CENTRE-VAL DE LOIRE";;32;;;;;;
"0451481R";"Centre de Formation d'Apprentis AFTEC Formation";"CENTRE-VAL DE LOIRE";27;30;64;67;-3;69;73;75
"0451566H";"Site de formation d'apprentis de École Supérieure de la Banque ORLEANS";"CENTRE-VAL DE LOIRE";11;53;68;68;-1;76;65;62
"0451583B";"Centre de Formation d'Apprentis FORMASAT";"CENTRE-VAL DE LOIRE";;22;;;;;;
"0451602X";"CFA de la Mouillère";"CENTRE-VAL DE LOIRE";39;34;48;56;-8;60;63;68
"0451653C";"Centre de Formation d'Apprentis de l'Industrie Centre-Val de Loire";"CENTRE-VAL DE LOIRE";27;38;76;76;0;82;81;81
"0451656F";"CFA des Universités Centre-Val de Loire";"CENTRE-VAL DE LOIRE";10;67;68;68;1;73;78;82
"0451708M";"CFA Académique";"CENTRE-VAL DE LOIRE";25;25;76;75;2;79;78;80
"0451715V";"Centre de Formation d'Apprentis Régional des MFR";"CENTRE-VAL DE LOIRE";25;36;69;63;6;73;71;74
"0451756P";"I.F.R.I.A.";"CENTRE-VAL DE LOIRE";;;;;;;;
"0451782T";"CFA BTP - CENTRE VAL DE LOIRE";"CENTRE-VAL DE LOIRE";;43;64;64;1;67;69;73
"0460495N";"Centre de formation d'apprentis Ecole des metiers du Lot";"OCCITANIE";42;39;57;59;-2;64;65;72
"0460654L";"Centre de formation des apprentis agricole du Lot  EPLA de Figeac";"OCCITANIE";42;41;41;53;-12;49;49;59
"0460706T";"IFA 46 CENTRE CONSULAIRE DE FORMATION INSTITUT DES FORCES DE VENTE DU LOT";"OCCITANIE";23;31;36;48;-12;73;55;55
"0470110P";"Centre de formation d'apprentis La Palme de la Chambre de Métiers et de l'Artisanat";"NOUVELLE-AQUITAINE";44;36;65;58;7;68;66;70
"0470744D";"Centre de formation d'apprentis cité de la formation";"NOUVELLE-AQUITAINE";43;17;62;57;5;60;65;70
"0470815F";"centre formation apprentis agricole departemental";"NOUVELLE-AQUITAINE";32;25;55;56;-1;58;61;63
"0470941T";"Centre de formation d'apprentis du bâtiment et des travaux publics du Lot-et-Garonne";"NOUVELLE-AQUITAINE";39;36;60;63;-3;66;70;74
"0471035V";"Centre de formation d'apprentis du LP Porte du Lot";"NOUVELLE-AQUITAINE";22;30;76;66;10;81;66;80
"0480499G";"Centre de formation d'apprentis Interprofessionnel Henry Giral";"OCCITANIE";43;37;67;66;1;76;69;75
"0480677A";"centre formation apprentis agricole";"OCCITANIE";;15;;;;;;
"0490985E";"Centre de formation d'apprentis de la CCI Maine-et-Loire - Centre Pierre Cointreau Angers";"PAYS DE LA LOIRE";32;34;71;68;2;74;74;79
"0490986F";"Centre de formation d'apprentis URMA-MAINE-ET-LOIRE";"PAYS DE LA LOIRE";28;50;72;69;3;74;78;79
"0490993N";"Association pour la formation professionnelle dans le bâtiment et les travaux publics de Maine-et-Loire";"PAYS DE LA LOIRE";22;45;74;71;3;76;77;81
"0492022G";"centre formation apprentis agricole anx  lpa edgard pisani";"PAYS DE LA LOIRE";28;28;58;56;2;64;63;72
"0492175Y";"centre formation apprentis agricole ecole superieure agriculture";"PAYS DE LA LOIRE";29;34;72;70;2;78;77;81
"0492193T";"Centre de formation d'apprentis maisons familiales m-et-loire";"PAYS DE LA LOIRE";31;40;66;59;7;70;71;76
"0492219W";"Association ouvrière des compagnons du devoir des pays de la loire";"PAYS DE LA LOIRE";31;32;82;70;12;78;80;76
"0492220X";"Centre de formation agrilia formation chambre d'agriculture - Angers";"PAYS DE LA LOIRE";;7;;;;;;
"0492303M";"CFA EC 49 Saint Aubin la Salle";"PAYS DE LA LOIRE";12;28;74;74;0;77;80;81
"0492335X";"Centre de formation d'apprentis éducation nationale 49";"PAYS DE LA LOIRE";17;32;81;79;2;84;85;86
"0501249L";"centre de formation d apprentis batiment paul bocage";"NORMANDIE";31;41;66;65;1;70;70;77
"0501605Y";"centre de formation d apprentis iform";"NORMANDIE";36;49;68;67;1;74;73;76
"0501614H";"CFA FIM Campus1";"NORMANDIE";39;33;63;64;-1;67;69;72
"0501784T";"centre formation apprentis agricole legta coutances";"NORMANDIE";38;40;58;56;2;66;64;64
"0501844H";"centre formation apprentis agricole lpa saint hilaire";"NORMANDIE";;52;;;;;;
"0501899T";"centre formation apprentis agricole lta saint lo there";"NORMANDIE";;33;;;;;;
"0501929A";"centre formation apprentis agricole ctre nat form lads et jockeys";"NORMANDIE";67;17;85;73;12;85;85;80
"0502006J";"ctre de formation d'apprentis cfa academique de caen";"NORMANDIE";17;27;77;74;3;81;81;83
"0511383B";"CFA BTP GRAND EST  LORRAINE DE LA MARNE";"GRAND EST";35;45;64;66;-2;71;71;77
"0511649R";"ALMEA  Formation interpro  Marne";"GRAND EST";39;36;60;59;1;67;66;69
"0511749Z";"Centre de Formation d'Apprentis agricole et viticole de la Marne";"GRAND EST";30;34;54;57;-3;57;68;73
"0511845D";"Centre de Formation d'Apprentis Santé et Sciences de la Vie";"GRAND EST";24;28;84;75;9;80;78;83
"0511949S";"Centre de Formation d'Apprentis de l'Industrie de Champagne-Ardenne";"GRAND EST";26;33;74;73;2;76;75;78
"0512117Z";"Centre de Formation d'Apprentis Commerce et Distribution-AFPAM (Association pour la Formation Profes et l'Apprentissage des Métiers du Commerce)";"GRAND EST";36;12;67;68;-2;71;69;62
"0512122E";"Centre de Formation d'Apprentis de l'Enseignement Supérieur de Champagne Ardenne";"GRAND EST";;52;;;;;;
"0512157T";"Centre de Formation d'Apprentis CIRFAP";"GRAND EST";;;;;;;;
"0520752K";"ALMEA formation Haute-Marne";"GRAND EST";43;35;57;60;-4;60;58;58
"0520758S";"CFA BTP GRAND EST  LORRAINE DE LA HAUTE MARNE";"GRAND EST";37;42;56;63;-7;58;62;59
"0520922V";"Centre de Formation d'Apprentis agricole";"GRAND EST";;40;;;;;;
"0530487S";"Association pour l'apprentissage en mayenne";"PAYS DE LA LOIRE";31;38;72;68;4;74;75;78
"0530500F";"URMA Mayenne";"PAYS DE LA LOIRE";31;50;70;65;5;75;74;77
"0530909A";"centre formation apprentis agricole de laval";"PAYS DE LA LOIRE";54;33;66;60;6;68;69;67
"0530973V";"Centre de formation d'apprentis de l'Enseignement Catholique de la Mayenne";"PAYS DE LA LOIRE";;;;;;;;
"0530981D";"CFA de la fédération des MFR de la Mayenne";"PAYS DE LA LOIRE";;23;;;;;;
"0531013N";"centre formation apprentis agricole sante animale pays de la loire";"PAYS DE LA LOIRE";9;1;81;72;9;87;83;83
"0541516E";"CFA du LPO Jean Zay";"GRAND EST";23;43;52;63;-11;56;50;53
"0541548P";"Site de formation d apprentis de la CMA Grand Est de Laxou";"GRAND EST";41;42;58;57;1;62;63;63
"0541550S";"CFA de la CCI 54";"GRAND EST";32;32;58;59;-1;60;62;61
"0541898V";"BTP CFA Meurthe-et-Moselle";"GRAND EST";32;45;52;64;-11;60;59;64
"0541958K";"CFA transport et logistique";"GRAND EST";24;20;71;64;7;72;73;75
"0542149T";"centre formation apprentis agricole cfa agri de meurthe et moselle";"GRAND EST";29;34;66;63;3;75;74;72
"0542221W";"CFAI Lorraine-Association pour l'apprentissage industriel";"GRAND EST";24;35;65;73;-8;69;70;73
"0542287T";"CFA des métiers de la banque et de la finance Nancy";"GRAND EST";7;;;;;;;
"0542353P";"CFA des métiers de la sécurité";"GRAND EST";18;14;52;64;-12;58;45;58
"0542389D";"CFA de la restauration de Meurthe et Moselle";"GRAND EST";50;32;62;54;8;59;61;67
"0542397M";"CFA de l'Université de Lorraine";"GRAND EST";11;62;65;63;3;74;65;78
"0542413E";"CENTRE DE FORMATION D'APPRENTIS DES METIERS DES SERVICES";"GRAND EST";22;36;77;74;3;76;74;75
"0542414F";"Centre de Formation d'apprentis de l'Automobile et des Metiers de l'Industrie";"GRAND EST";28;31;68;70;-2;77;73;75
"0542416H";"Centre de formation d'apprentis Art regional du verre";"GRAND EST";;20;;;;;;
"0542463J";"CFA de l'association régionale d'éducation permanente Lorraine";"GRAND EST";19;26;75;71;5;74;84;83
"0542474W";"CFA interrégional des technologies Henri Loritz";"GRAND EST";19;21;72;75;-3;79;74;72
"0542492R";"centre formation apprentis agricole cfa agricultures territoires";"GRAND EST";47;21;62;65;-2;79;75;79
"0542500Z";"CFA Régional des Métiers du Sanitaire et Social";"GRAND EST";11;5;50;49;2;50;53;53
"0542506F";"CFA AGEFA PME Lorraine";"GRAND EST";18;30;;;;;;
"0542524A";"Organisme de formation-Centre de formation d'apprentis POLYVIA FORMATION GRAND-EST de Nancy";"GRAND EST";;;;;;;;
"0550861M";"CFA Européen Louis Prioux";"GRAND EST";43;36;55;60;-5;58;61;64
"0550969E";"centre formation apprentis agricole cfa agr bar le duc";"GRAND EST";;38;;;;;;
"0551027T";"CFA des maisons familiales et rurales de Lorraine";"GRAND EST";32;25;60;67;-6;63;65;70
"0560808Z";"CFA de la Ville de Lorient";"BRETAGNE";43;25;62;65;-3;61;61;74
"0560810B";"CFA CMA Bretagne - Campus de Vannes";"BRETAGNE";41;38;61;61;0;69;66;76
"0561397P";"CFA Bâtiment 56";"BRETAGNE";35;42;67;68;-2;72;73;75
"0561732D";"CFA DE HENNEBONT";"BRETAGNE";25;32;63;57;6;69;72;73
"0561764N";"CFA agricole privé, Métiers de la Production Agricole";"BRETAGNE";39;11;64;66;-2;75;72;80
"0561783J";"CFA CCI 56";"BRETAGNE";20;2;56;68;-12;71;75;79
"0561810N";"CFA des Travaux Publics de Bretagne";"BRETAGNE";16;28;87;75;12;88;87;90
"0561850G";"CFA universitaire de Bretagne";"BRETAGNE";7;82;71;65;6;71;73;77
"0570033B";"CFA du LPO Blaise pascal de Forbach";"GRAND EST";33;37;43;55;-12;55;56;52
"0570062H";"CFA des métiers de l'automobile Philippe Charbonneaux";"GRAND EST";27;42;59;66;-8;65;58;63
"0570110K";"CFA la Briquerie";"GRAND EST";25;28;51;62;-11;64;64;60
"0572201H";"CFA Ernest Meyer Metz";"GRAND EST";42;39;67;60;6;66;66;68
"0572726D";"CFA Ecole pratique des métiers";"GRAND EST";50;41;46;54;-7;53;45;54
"0572728F";"CFA Robert Schuman";"GRAND EST";36;35;48;54;-6;45;52;50
"0572741V";"CFA Henri Nominé";"GRAND EST";33;44;59;61;-3;59;63;64
"0572742W";"CFA Camille Weiss";"GRAND EST";39;42;52;57;-6;56;61;63
"0572761S";"CFA Dominique Labroise Sarrebourg";"GRAND EST";48;38;58;58;0;66;62;68
"0572820F";"CFA BTP de Moselle";"GRAND EST";30;37;56;66;-10;61;59;60
"0573212G";"CFA de la CCI de la Moselle";"GRAND EST";30;23;64;68;-5;60;62;63
"0573246U";"centre formation apprentis agricole";"GRAND EST";34;36;42;52;-9;57;54;63
"0573282H";"CFA du lycée des métiers de l'hotellerie Raymond Mondon";"GRAND EST";52;27;58;56;2;59;62;71
"0580555N";"CAMPUS METIERS MARZY";"BOURGOGNE-FRANCHE-COMTE";45;37;55;58;-3;61;56;63
"0580739N";"CFA AGRICOLE";"BOURGOGNE-FRANCHE-COMTE";38;32;54;58;-4;68;64;66
"0593321P";"CFA de la Chambre des Métiers et de l'Artisanat Hauts-de-France";"HAUTS-DE-FRANCE";42;44;58;57;1;63;64;66
"0593334D";"BTP CFA Nord-Pas de Calais";"HAUTS-DE-FRANCE";30;44;58;61;-3;63;64;69
"0593371U";"CFA du CIA (Centre Intertextile d'Apprentissage) - GAFIT (Groupement d'Apprentissage et de Formation de l'Industrie Textile)";"HAUTS-DE-FRANCE";47;;;;;;;
"0594576D";"CFA de l'AFPI (Association de Formation Professionnelle de l'Industrie)";"HAUTS-DE-FRANCE";32;27;70;68;2;72;74;79
"0595645R";"CFA les Compagnons du Devoir - la maison de Lille, Siège régional";"HAUTS-DE-FRANCE";44;41;64;59;6;57;65;66
"0595689N";"CFA Régional Agricole de GENECH";"HAUTS-DE-FRANCE";38;30;61;59;2;68;65;72
"0595846J";"Centre de Formation d'Apprentis Spécialisé AGAP Formation (Association pour Gestion et Aide Promotion d Equipements Sociaux et Médico Sociaux)";"HAUTS-DE-FRANCE";29;49;33;35;-2;30;39;43
"0596014S";"CFA FORMASUP Nord - Pas de Calais";"HAUTS-DE-FRANCE";21;54;71;66;5;74;77;76
"0596126N";"CFA Agricole public du Nord";"HAUTS-DE-FRANCE";38;28;46;50;-4;59;57;62
"0596268T";"CFA de l'IFRIA (Institut de Formation Régional des Industries Agroalimentaires)";"HAUTS-DE-FRANCE";40;22;65;60;5;75;71;72
"0596346C";"CFA du CREPS (Centre de Ressources,d'Expertise et de Performance Sportive) de WATTIGNIES";"HAUTS-DE-FRANCE";;11;;;;;;
"0596448N";"CFA de l'ADEFA (Association pour le Développement de la Formation par l'Apprentissage)";"HAUTS-DE-FRANCE";28;21;65;60;4;68;71;76
"0596473R";"Site de formation d'apprentis de l'OF-CFA Ecole supérieure de la banque (ESBanque) - site de formation de VILLENEUVE D'ASCQ";"HAUTS-DE-FRANCE";6;;;;;;;
"0596792M";"CFA Académique - Académie de Lille";"HAUTS-DE-FRANCE";30;23;65;63;2;68;69;72
"0596816N";"CFA de l'Institut des Services à l'Environnement (ISE)";"HAUTS-DE-FRANCE";14;8;83;73;10;90;89;91
"0596817P";"CFA de l'AFPC (Association pour la Formation Professionnelle Continue)";"HAUTS-DE-FRANCE";14;16;52;58;-7;45;35;42
"0596894Y";"CFA AFI 24 (Association Formation des Industries Chimiques et Parachimiques) Nord-Pas de Calais";"HAUTS-DE-FRANCE";19;62;;;;;;
"0596997K";"CFA Régional Hauts de France";"HAUTS-DE-FRANCE";39;24;62;63;0;65;66;68
"0597067L";"CFA PROMOTRANS des Hauts de France";"HAUTS-DE-FRANCE";49;19;74;72;2;79;67;79
"0597090L";"CFA de convention Régionale Hauts de France Jean Bosco";"HAUTS-DE-FRANCE";;;;;;;;
"0601206K";"CFA BTP CFA 60";"HAUTS-DE-FRANCE";35;42;62;61;1;67;70;72
"0601209N";"CFA de la mairie de Compiègne";"HAUTS-DE-FRANCE";40;23;65;53;12;68;68;71
